player_name,actual_value,predicted_value
C. Brown,500000.0,486997.414195868
R. Niemeijer,850000.0,777558.1341156014
C. Coady,6000000.0,6147960.62500943
Ayala,400000.0,395202.1959982222
Y. Omoto,90000.0,86952.74064969522
Mario Ortíz,850000.0,656019.7970869987
F. Midtsjø,8500000.0,7946008.613147012
M. Torrén,1400000.0,1192950.0079458428
R. Escobar,130000.0,116650.48520619048
H. Offia,140000.0,126085.63374008419
Kim Min Hyeok,925000.0,969975.9215916048
J. Boëtius,7500000.0,7310094.376846276
Renan Ribeiro,7000000.0,6290506.138253578
A. Duarte,525000.0,662701.5011031937
C. Chambers,6500000.0,6684348.2518997155
S. Morrison,5500000.0,5709083.1394621
W. Keane,825000.0,836736.3066043964
E. Adu,2400000.0,1932114.6346183806
Pozuelo,12000000.0,9782507.10330149
H. Özmert,425000.0,939095.2524226606
Victor Sánchez,6500000.0,7352779.621605804
D. Wouters,1000000.0,987370.1085919921
M. Palacios,625000.0,575694.0883922427
Caio Tafarell,925000.0,715695.3738743805
J. Thomassen,550000.0,505034.6946712049
E. Şen,2400000.0,2693280.8178249574
I. Al Maghrabi,375000.0,292687.18867959466
C. Clifford,100000.0,81810.21138825984
R. Alm,170000.0,166588.73295235346
Walace,6500000.0,7231651.907604451
R. Schiavi,600000.0,715695.3738743805
C. Jacob,290000.0,317967.84650851967
J. Dasilva,1300000.0,1364143.6987521278
K. Trippier,18500000.0,17825729.860178128
Chico,280000.0,224858.7475682729
Xue Yanan,40000.0,26730.34503339042
A. Al Dhafeeri,100000.0,101132.47778422484
A. Guiffrey,270000.0,243599.0647994059
João Cancelo,25500000.0,29708492.242994476
D. Franke,300000.0,305177.63990378985
Z. Dedič,475000.0,671803.9586587872
A. Warda,3900000.0,3773532.278981568
R. Olsen,5500000.0,3521154.878512517
S. Clucas,4200000.0,3321982.3887154744
I. Domínguez,190000.0,203182.24563737836
F. Marín,180000.0,188557.50315059285
Mauro Cerqueira,550000.0,663392.5094141826
A. Estacio,130000.0,114167.46548635144
J. Clarke-Salter,1700000.0,1570713.859096332
A. Crescenzi,1700000.0,1362111.5455463645
B. Thomas-Asante,325000.0,305177.63990378985
J. Pivarić,4300000.0,4709930.214950197
E. Córdoba,600000.0,705670.1958449328
M. Alphonse,700000.0,656019.7970869987
Jorge Félix,400000.0,300370.58607452863
S. Warde,100000.0,97972.52471542153
J. Soñora,230000.0,207879.98341173993
N. Topor-Stanley,220000.0,389936.7682293992
T. Majrashi,325000.0,234866.64023082913
G. Nijholt,450000.0,516219.8222973687
J. Böðvarsson,2200000.0,2096709.0657362728
D. Silva,2000000.0,1917911.079670969
D. Adshead,200000.0,203182.24563737836
J. Córdoba,400000.0,389618.32080417575
T. Naylor,625000.0,656019.7970869987
F. Mattiello,5500000.0,5051023.720634485
R. Bezjak,1100000.0,939095.2524226606
R. Williams,875000.0,902927.3667356429
K. Lara,170000.0,175217.5760302538
A. Aliev,180000.0,166740.92484648083
D. Baumann,725000.0,725542.2956256402
M. Linnes,3800000.0,4495046.972018676
Luiz Antônio,1500000.0,1598397.5554550302
V. Lampropoulos,1400000.0,975728.7684982298
A. Hughes,625000.0,656019.7970869987
T. Børven,650000.0,485156.4607597763
Bernardo,7500000.0,8538829.360176602
J. Ekkelenkamp,950000.0,1034981.9512960907
P. Plewka,110000.0,115185.56869174549
V. Sirotov,220000.0,175102.0629012539
M. Dabo,300000.0,340526.2234636608
Tobias Figueiredo,2600000.0,2473592.0721416483
M. Sabitzer,22500000.0,20298602.49217109
H. Cornick,450000.0,395454.18775646406
S. Asamoah,1200000.0,1266666.0846662258
E. Ntim,270000.0,289627.5108452881
I. Radovanović,7000000.0,7339507.106936283
D. Fontani,180000.0,188924.33044664015
J. Benítez,1900000.0,1073693.166013762
Pol Valentín,1100000.0,1100169.5760106472
M. Akça,450000.0,391787.11792245886
D. Chessa,250000.0,216630.91411629468
A. Martinelli,800000.0,963086.4111482247
G. Bizzotto,350000.0,317967.84650851967
F. Fragapane,2200000.0,2164417.9832281857
I. Amadou,7500000.0,8417932.286512848
D. Dervite,600000.0,505034.6946712049
F. Arkenberg,375000.0,395202.1959982222
K. Kubota,90000.0,94979.87145189826
Zhang Gong,30000.0,38891.15004741375
P. Neumann,575000.0,593728.0810572384
G. Hamer,1200000.0,1067446.7437511631
B. Héry,300000.0,328213.77919942554
D. Hładun,350000.0,434141.19151912525
C. Ripley,850000.0,976213.4465661261
L. Rougeaux,575000.0,692980.0828339413
M. O'Connor,500000.0,391787.11792245886
Marcão,600000.0,692980.0828339413
Tomás Pina,8000000.0,7327038.955352358
A. Akkaynak,775000.0,759295.3085394332
F. Downes,950000.0,903330.8220201958
C. Larin,9500000.0,8915267.819506213
C. Hérelle,8500000.0,8501870.702088675
H. Dalsgaard,2500000.0,2784435.633696297
A. Mintzel,70000.0,483935.31732552196
Néstor Albiach,925000.0,930694.0999665877
M. Gradel,10000000.0,9085117.69711426
M. Koch,900000.0,897737.9522527799
A. Gray,9000000.0,7869803.768607662
J. Granlund,50000.0,55319.930598038074
J. Niezgoda,1500000.0,1334149.3213511172
M. Wolfram,800000.0,693618.4986387484
R. Ibarra,6000000.0,5012602.673408824
G. Bussmann,3300000.0,2778015.7377200346
E. Alvarado,525000.0,406254.83030999475
N. McGinley,375000.0,392021.8956505542
H. Aleesami,2600000.0,2495150.4677852406
L. Sigali,2100000.0,2031359.2699276987
L. Henderson,1400000.0,1320444.4592058773
M. Gajos,850000.0,933149.9977744253
F. Mveng,190000.0,184087.53006910736
L. Jephcott,80000.0,69637.2253503458
N. Moro,2700000.0,2944196.0508343414
Kim Jong Min,325000.0,317408.7117702096
A. Erlingmark,325000.0,289627.5108452881
J. Aylagas,400000.0,464043.24131674034
R. Pizarro,10500000.0,10056281.348266067
A. Poulsen,550000.0,630656.6856666291
S. Laird,270000.0,291906.5033394227
C. Peters,170000.0,154102.08654475954
E. Bello,2500000.0,2482182.194501595
M. Ballmert,675000.0,710250.2952061024
J. Hove,180000.0,182495.37205773822
Jesus Andradaldo,4800000.0,4731917.292850336
K. Londoño,1100000.0,1045453.9422283551
J. Dunn,70000.0,69785.00774979974
M. Haas,425000.0,457735.9414051002
T. Cancellotti,625000.0,538624.1266151341
Y. Anchico,325000.0,537493.7619055375
E. Flores,1200000.0,1223345.7394894909
Fabián,26000000.0,26513350.73953825
C. Lakin,775000.0,759295.3085394332
M. Olunga,4400000.0,4119262.697341762
Claytisco Branco,220000.0,505034.6946712049
D. Jovanovic,1700000.0,1562009.21930653
R. Gumny,1800000.0,1828878.6859062114
R. Krunić,5500000.0,5027298.696714015
R. Fredericks,4000000.0,4495027.788512593
O. Okwonkwo,3900000.0,3749267.312252161
A. Benchaib,925000.0,876212.645953859
A. Ngamukol,725000.0,693019.548017279
S. Binakaj,450000.0,360664.84110284277
M. Steeves,220000.0,189525.10952474686
M. Polster,850000.0,955861.7403219865
K. Chiba,260000.0,484490.9148347958
Júnior Negão,575000.0,554032.2966745562
A. DeJohn,150000.0,174769.81526993596
F. Reynero,450000.0,360664.84110284277
D. Mendiseca,0.0,4991.033103666746
Lee Seung Woo,2800000.0,2564634.6620019358
M. Andújar,2300000.0,1600050.4375689672
N. Besara,2700000.0,2529956.830599773
N. Sansone,9000000.0,8019311.719585774
M. Leahy,110000.0,117505.54967407272
